elapsedtime,ECG
seconds,mv
0,-0.207
0.004,-0.195
0.008,-0.215
0.012,-0.18
0.016,-0.203
0.02,-0.21
0.024,-0.203
0.028,-0.203
0.032,-0.203
0.036,-0.225
0.04,-0.207
0.044,-0.215
0.048,-0.212
0.052,-0.165
0.056,-0.177
0.06,-0.163
0.064,-0.182
0.068,-0.175
0.072,-0.16
0.076,-0.17
0.08,-0.185
0.084,-0.223
0.088,-0.215
0.092,-0.203
0.096,-0.198
0.1,-0.215
0.104,-0.215
0.108,-0.198
0.112,-0.15
0.116,-0.155
0.12,-0.135
0.124,-0.113
0.128,-0.092
0.132,-0.105
0.136,-0.115
0.14,-0.08
0.144,-0.052
0.148,-0.062
0.152,-0.07
0.156,-0.09
0.16,-0.087
0.164,-0.095
0.168,-0.062
0.172,-0.068
0.176,-0.09
0.18,-0.11
0.184,-0.125
0.188,-0.135
0.192,-0.17
0.196,-0.19
0.2,-0.193
0.204,-0.182
0.208,-0.16
0.212,-0.185
0.216,-0.198
0.22,-0.205
0.224,-0.19
0.228,-0.19
0.232,-0.175
0.236,-0.215
0.24,-0.33
0.244,-0.497
0.248,-0.562
0.252,-0.455
0.256,-0.125
0.26,0.343
0.264,0.848
0.268,1.475
0.272,1.843
0.276,1.728
0.28,1.333
0.284,0.943
0.288,0.578
0.292,0.268
0.296,0.045
0.3,-0.08
0.304,-0.115
0.308,-0.122
0.312,-0.142
0.316,-0.155
0.32,-0.172
0.324,-0.172
0.328,-0.195
0.332,-0.2
0.336,-0.198
0.34,-0.205
0.344,-0.203
0.348,-0.21
0.352,-0.203
0.356,-0.195
0.36,-0.19
0.364,-0.205
0.368,-0.21
0.372,-0.205
0.376,-0.193
0.38,-0.182
0.384,-0.19
0.388,-0.193
0.392,-0.172
0.396,-0.177
0.4,-0.203
0.404,-0.212
0.408,-0.195
0.412,-0.185
0.416,-0.182
0.42,-0.155
0.424,-0.17
0.428,-0.17
0.432,-0.165
0.436,-0.165
0.44,-0.152
0.444,-0.158
0.448,-0.152
0.452,-0.13
0.456,-0.125
0.46,-0.117
0.464,-0.128
0.468,-0.09
0.472,-0.072
0.476,-0.055
0.48,-0.06
0.484,-0.062
0.488,-0.04
0.492,-0.022
0.496,-0.005
0.5,-0.003
0.504,0.028
0.508,0.035
0.512,0.058
0.516,0.068
0.52,0.08
0.524,0.083
0.528,0.08
0.532,0.085
0.536,0.08
0.54,0.058
0.544,0.058
0.548,0.037
0.552,0.007
0.556,-0.003
0.56,-0.005
0.564,-0.043
0.568,-0.055
0.572,-0.072
0.576,-0.08
0.58,-0.068
0.584,-0.085
0.588,-0.1
0.592,-0.102
0.596,-0.092
0.6,-0.095
0.604,-0.1
0.608,-0.115
0.612,-0.122
0.616,-0.128
0.62,-0.113
0.624,-0.11
0.628,-0.105
0.632,-0.105
0.636,-0.08
0.64,-0.11
0.644,-0.122
0.648,-0.117
0.652,-0.122
0.656,-0.115
0.66,-0.125
0.664,-0.13
0.668,-0.135
0.672,-0.13
0.676,-0.125
0.68,-0.12
0.684,-0.14
0.688,-0.128
0.692,-0.142
0.696,-0.152
0.7,-0.145
0.704,-0.115
0.708,-0.1
0.712,-0.105
0.716,-0.107
0.72,-0.105
0.724,-0.117
0.728,-0.128
0.732,-0.122
0.736,-0.115
0.74,-0.09
0.744,-0.085
0.748,-0.085
0.752,-0.095
0.756,-0.115
0.76,-0.105
0.764,-0.105
0.768,-0.12
0.772,-0.095
0.776,-0.098
0.78,-0.12
0.784,-0.105
0.788,-0.1
0.792,-0.092
0.796,-0.07
0.8,-0.065
0.804,-0.09
0.808,-0.095
0.812,-0.12
0.816,-0.142
0.82,-0.122
0.824,-0.102
0.828,-0.122
0.832,-0.128
0.836,-0.135
0.84,-0.12
0.844,-0.133
0.848,-0.17
0.852,-0.145
0.856,-0.15
0.86,-0.16
0.864,-0.155
0.868,-0.17
0.872,-0.165
0.876,-0.172
0.88,-0.163
0.884,-0.133
0.888,-0.133
0.892,-0.105
0.896,-0.13
0.9,-0.145
0.904,-0.135
0.908,-0.13
0.912,-0.125
0.916,-0.133
0.92,-0.115
0.924,-0.125
0.928,-0.13
0.932,-0.125
0.936,-0.125
0.94,-0.13
0.944,-0.098
0.948,-0.105
0.952,-0.09
0.956,-0.058
0.96,-0.043
0.964,-0.048
0.968,-0.055
0.972,-0.065
0.976,-0.075
0.98,-0.015
0.984,0.028
0.988,0.013
0.992,-0.013
0.996,-0.055
1,-0.058
1.004,-0.035
1.008,-0.015
1.012,-0.025
1.016,-0.04
1.02,-0.062
1.024,-0.095
1.028,-0.115
1.032,-0.125
1.036,-0.158
1.04,-0.15
1.044,-0.142
1.048,-0.135
1.052,-0.14
1.056,-0.175
1.06,-0.185
1.064,-0.172
1.068,-0.177
1.072,-0.19
1.076,-0.245
1.08,-0.365
1.084,-0.522
1.088,-0.583
1.092,-0.47
1.096,-0.145
1.1,0.297
1.104,0.818
1.108,1.433
1.112,1.873
1.116,1.885
1.12,1.502
1.124,1.107
1.128,0.748
1.132,0.417
1.136,0.177
1.14,0.028
1.144,-0.072
1.148,-0.11
1.152,-0.142
1.156,-0.125
1.16,-0.175
1.164,-0.193
1.168,-0.177
1.172,-0.198
1.176,-0.203
1.18,-0.215
1.184,-0.235
1.188,-0.225
1.192,-0.23
1.196,-0.225
1.2,-0.225
1.204,-0.21
1.208,-0.198
1.212,-0.198
1.216,-0.21
1.22,-0.212
1.224,-0.223
1.228,-0.212
1.232,-0.21
1.236,-0.22
1.24,-0.223
1.244,-0.22
1.248,-0.215
1.252,-0.212
1.256,-0.207
1.26,-0.21
1.264,-0.223
1.268,-0.215
1.272,-0.205
1.276,-0.193
1.28,-0.19
1.284,-0.19
1.288,-0.195
1.292,-0.195
1.296,-0.185
1.3,-0.17
1.304,-0.155
1.308,-0.133
1.312,-0.128
1.316,-0.12
1.32,-0.115
1.324,-0.055
1.328,-0.058
1.332,-0.065
1.336,-0.065
1.34,-0.033
1.344,0.007
1.348,0.015
1.352,0.025
1.356,0.033
1.36,0.055
1.364,0.068
1.368,0.087
1.372,0.09
1.376,0.1
1.38,0.087
1.384,0.087
1.388,0.075
1.392,0.058
1.396,0.015
1.4,0.015
1.404,-0.005
1.408,-0.022
1.412,-0.072
1.416,-0.062
1.42,-0.062
1.424,-0.072
1.428,-0.095
1.432,-0.077
1.436,-0.075
1.44,-0.087
1.444,-0.102
1.448,-0.11
1.452,-0.102
1.456,-0.08
1.46,-0.11
1.464,-0.113
1.468,-0.11
1.472,-0.107
1.476,-0.115
1.48,-0.12
1.484,-0.125
1.488,-0.128
1.492,-0.105
1.496,-0.095
1.5,-0.102
1.504,-0.075
1.508,-0.065
1.512,-0.065
1.516,-0.058
1.52,-0.068
1.524,-0.065
1.528,-0.072
1.532,-0.065
1.536,-0.055
1.54,-0.075
1.544,-0.08
1.548,-0.095
1.552,-0.087
1.556,-0.077
1.56,-0.065
1.564,-0.052
1.568,-0.065
1.572,-0.065
1.576,-0.075
1.58,-0.08
1.584,-0.075
1.588,-0.065
1.592,-0.065
1.596,-0.07
1.6,-0.065
1.604,-0.072
1.608,-0.065
1.612,-0.06
1.616,-0.055
1.62,-0.045
1.624,-0.043
1.628,-0.045
1.632,-0.045
1.636,-0.075
1.64,-0.062
1.644,-0.045
1.648,-0.043
1.652,-0.043
1.656,-0.05
1.66,-0.045
1.664,-0.035
1.668,-0.062
1.672,-0.052
1.676,-0.055
1.68,-0.062
1.684,-0.077
1.688,-0.068
1.692,-0.062
1.696,-0.075
1.7,-0.062
1.704,-0.06
1.708,-0.065
1.712,-0.062
1.716,-0.075
1.72,-0.075
1.724,-0.083
1.728,-0.058
1.732,-0.055
1.736,-0.052
1.74,-0.052
1.744,-0.055
1.748,-0.043
1.752,-0.043
1.756,-0.05
1.76,-0.04
1.764,-0.033
1.768,-0.005
1.772,-0.007
1.776,-0.005
1.78,-0.007
1.784,-0.007
1.788,-0.018
1.792,-0.007
1.796,0.007
1.8,0.045
1.804,0.065
1.808,0.083
1.812,0.048
1.816,0.055
1.82,0.048
1.824,0.058
1.828,0.037
1.832,0.035
1.836,0.028
1.84,-0.005
1.844,-0.022
1.848,-0.065
1.852,-0.065
1.856,-0.09
1.86,-0.09
1.864,-0.105
1.868,-0.075
1.872,-0.098
1.876,-0.08
1.88,-0.075
1.884,-0.075
1.888,-0.115
1.892,-0.14
1.896,-0.263
1.9,-0.417
1.904,-0.472
1.908,-0.385
1.912,-0.105
1.916,0.328
1.92,0.8
1.924,1.417
1.928,1.82
1.932,1.76
1.936,1.365
1.94,0.988
1.944,0.623
1.948,0.307
1.952,0.087
1.956,-0.003
1.96,-0.037
1.964,-0.035
1.968,-0.075
1.972,-0.13
1.976,-0.142
1.98,-0.168
1.984,-0.163
1.988,-0.165
1.992,-0.135
1.996,-0.145
2,-0.152
2.004,-0.133
2.008,-0.133
2.012,-0.145
2.016,-0.14
2.02,-0.135
2.024,-0.145
2.028,-0.138
2.032,-0.142
2.036,-0.125
2.04,-0.128
2.044,-0.125
2.048,-0.125
2.052,-0.14
2.056,-0.133
2.06,-0.15
2.064,-0.14
2.068,-0.145
2.072,-0.152
2.076,-0.147
2.08,-0.14
2.084,-0.145
2.088,-0.15
2.092,-0.135
2.096,-0.125
2.1,-0.13
2.104,-0.12
2.108,-0.102
2.112,-0.092
2.116,-0.087
2.12,-0.08
2.124,-0.08
2.128,-0.075
2.132,-0.077
2.136,-0.033
2.14,-0.018
2.144,-0.003
2.148,0.03
2.152,0.028
2.156,0.01
2.16,0.035
2.164,0.045
2.168,0.07
2.172,0.075
2.176,0.095
2.18,0.095
2.184,0.107
2.188,0.128
2.192,0.105
2.196,0.085
2.2,0.058
2.204,0.045
2.208,0.015
2.212,0.005
2.216,-0.025
2.22,-0.028
2.224,-0.04
2.228,-0.043
2.232,-0.055
2.236,-0.048
2.24,-0.052
2.244,-0.065
2.248,-0.075
2.252,-0.065
2.256,-0.06
2.26,-0.072
2.264,-0.05
2.268,-0.062
2.272,-0.055
2.276,-0.09
2.28,-0.083
2.284,-0.065
2.288,-0.072
2.292,-0.08
2.296,-0.07
2.3,-0.065
2.304,-0.033
2.308,-0.028
2.312,-0.052
2.316,-0.035
2.32,-0.033
2.324,-0.005
2.328,-0.015
2.332,-0.02
2.336,-0.033
2.34,-0.025
2.344,-0.013
2.348,-0.003
2.352,-0.003
2.356,-0.007
2.36,-0.007
2.364,-0.013
2.368,-0.035
2.372,-0.015
2.376,-0.005
2.38,-0.02
2.384,-0.005
2.388,-0.005
2.392,-0.015
2.396,-0.02
2.4,-0.018
2.404,-0.043
2.408,-0.003
2.412,-0.007
2.416,-0.003
2.42,-0.003
2.424,-0.003
2.428,-0.033
2.432,-0.028
2.436,-0.035
2.44,-0.035
2.444,-0.03
2.448,-0.03
2.452,-0.045
2.456,-0.048
2.46,-0.065
2.464,-0.055
2.468,-0.04
2.472,-0.058
2.476,-0.077
2.48,-0.095
2.484,-0.095
2.488,-0.092
2.492,-0.075
2.496,-0.045
2.5,-0.035
2.504,-0.035
2.508,-0.035
2.512,-0.03
2.516,-0.035
2.52,-0.033
2.524,-0.037
2.528,-0.04
2.532,-0.033
2.536,-0.035
2.54,-0.043
2.544,-0.043
2.548,-0.035
2.552,-0.025
2.556,-0.037
2.56,-0.055
2.564,-0.033
2.568,-0.03
2.572,-0.033
2.576,-0.045
2.58,-0.06
2.584,-0.035
2.588,-0.022
2.592,-0.007
2.596,-0.013
2.6,-0.015
2.604,0.005
2.608,0.007
2.612,0.01
2.616,0.025
2.62,0.025
2.624,0.025
2.628,0.043
2.632,0.052
2.636,0.095
2.64,0.113
2.644,0.107
2.648,0.105
2.652,0.105
2.656,0.102
2.66,0.08
2.664,0.08
2.668,0.08
2.672,0.043
2.676,0.028
2.68,0.02
2.684,-0.003
2.688,-0.003
2.692,-0.01
2.696,-0.01
2.7,-0.045
2.704,-0.06
2.708,-0.055
2.712,-0.013
2.716,-0.015
2.72,-0.03
2.724,-0.077
2.728,-0.172
2.732,-0.31
2.736,-0.393
2.74,-0.325
2.744,-0.072
2.748,0.357
2.752,0.848
2.756,1.462
2.76,1.853
2.764,1.762
2.768,1.343
2.772,0.963
2.776,0.588
2.78,0.282
2.784,0.125
2.788,0.028
2.792,0.01
2.796,-0.015
2.8,-0.03
2.804,-0.035
2.808,-0.068
2.812,-0.08
2.816,-0.08
2.82,-0.095
2.824,-0.092
2.828,-0.105
2.832,-0.092
2.836,-0.06
2.84,-0.072
2.844,-0.122
2.848,-0.105
2.852,-0.092
2.856,-0.11
2.86,-0.098
2.864,-0.102
2.868,-0.092
2.872,-0.09
2.876,-0.077
2.88,-0.087
2.884,-0.09
2.888,-0.1
2.892,-0.105
2.896,-0.105
2.9,-0.12
2.904,-0.09
2.908,-0.065
2.912,-0.06
2.916,-0.075
2.92,-0.09
2.924,-0.09
2.928,-0.075
2.932,-0.06
2.936,-0.055
2.94,-0.06
2.944,-0.035
2.948,-0.025
2.952,-0.015
2.956,-0.022
2.96,0.005
2.964,0.013
2.968,0.018
2.972,0.035
2.976,0.058
2.98,0.095
2.984,0.102
2.988,0.085
2.992,0.087
2.996,0.107
3,0.138
3.004,0.145
3.008,0.168
3.012,0.142
3.016,0.155
3.02,0.158
3.024,0.145
3.028,0.128
3.032,0.125
3.036,0.1
3.04,0.075
3.044,0.055
3.048,0.048
3.052,0.03
3.056,0.015
3.06,0.007
3.064,0.007
3.068,-0.013
3.072,-0.015
3.076,-0.022
3.08,-0.035
3.084,-0.03
3.088,-0.037
3.092,-0.033
3.096,-0.035
3.1,-0.025
3.104,-0.015
3.108,-0.025
3.112,-0.025
3.116,0.018
3.12,0.025
3.124,0.058
3.128,0.135
3.132,0.258
3.136,0.463
3.14,0.695
3.144,0.895
3.148,1.038
3.152,1.042
3.156,0.897
3.16,0.378
3.164,-0.427
3.168,-1.042
3.172,-1.327
3.176,-1.462
3.18,-1.508
3.184,-1.512
3.188,-1.373
3.192,-1.137
3.196,-0.843
3.2,-0.657
3.204,-0.552
3.208,-0.537
3.212,-0.557
3.216,-0.627
3.22,-0.627
3.224,-0.632
3.228,-0.58
3.232,-0.468
3.236,-0.323
3.24,-0.165
3.244,-0.075
3.248,-0.003
3.252,-0.005
3.256,0.013
3.26,0.022
3.264,0.048
3.268,0.068
3.272,0.068
3.276,0.08
3.28,0.105
3.284,0.107
3.288,0.107
3.292,0.145
3.296,0.163
3.3,0.168
3.304,0.168
3.308,0.168
3.312,0.177
3.316,0.188
3.32,0.195
3.324,0.233
3.328,0.24
3.332,0.228
3.336,0.245
3.34,0.297
3.344,0.328
3.348,0.378
3.352,0.448
3.356,0.522
3.36,0.598
3.364,0.667
3.368,0.757
3.372,0.807
3.376,0.828
3.38,0.877
3.384,0.902
3.388,0.922
3.392,0.958
3.396,0.958
3.4,0.948
3.404,0.932
3.408,0.88
3.412,0.815
3.416,0.728
3.42,0.667
3.424,0.608
3.428,0.58
3.432,0.507
3.436,0.443
3.44,0.362
3.444,0.318
3.448,0.268
3.452,0.212
3.456,0.152
3.46,0.138
3.464,0.125
3.468,0.085
3.472,0.065
3.476,0.035
3.48,0.033
3.484,0.028
3.488,0.02
3.492,0.015
3.496,-0.003
3.5,-0.003
3.504,0.005
3.508,0.015
3.512,-0.003
3.516,-0.007
3.52,-0.015
3.524,0.007
3.528,0.005
3.532,0.003
3.536,-0.005
3.54,-0.003
3.544,-0.003
3.548,0.015
3.552,0.013
3.556,0.013
3.56,0.015
3.564,0.018
3.568,-0.02
3.572,-0.022
3.576,-0.022
3.58,-0.01
3.584,-0.01
3.588,0.005
3.592,0.007
3.596,0.005
3.6,-0.015
3.604,-0.04
3.608,-0.02
3.612,-0.033
3.616,-0.03
3.62,-0.06
3.624,-0.05
3.628,-0.05
3.632,-0.04
3.636,-0.055
3.64,-0.072
3.644,-0.055
3.648,-0.062
3.652,-0.055
3.656,-0.043
3.66,-0.035
3.664,-0.043
3.668,-0.055
3.672,-0.045
3.676,-0.055
3.68,-0.05
3.684,-0.055
3.688,-0.02
3.692,-0.043
3.696,-0.065
3.7,-0.062
3.704,-0.07
3.708,-0.068
3.712,-0.087
3.716,-0.065
3.72,-0.072
3.724,-0.045
3.728,-0.043
3.732,-0.062
3.736,-0.102
3.74,-0.105
3.744,-0.12
3.748,-0.092
3.752,-0.085
3.756,-0.08
3.76,-0.092
3.764,-0.092
3.768,-0.105
3.772,-0.113
3.776,-0.105
3.78,-0.072
3.784,-0.072
3.788,-0.087
3.792,-0.098
3.796,-0.092
3.8,-0.077
3.804,-0.077
3.808,-0.072
3.812,-0.065
3.816,-0.06
3.82,-0.06
3.824,-0.07
3.828,-0.107
3.832,-0.115
3.836,-0.115
3.84,-0.11
3.844,-0.11
3.848,-0.092
3.852,-0.098
3.856,-0.1
3.86,-0.092
3.864,-0.102
3.868,-0.102
3.872,-0.085
3.876,-0.08
3.88,-0.08
3.884,-0.08
3.888,-0.045
3.892,-0.04
3.896,-0.08
3.9,-0.11
3.904,-0.14
3.908,-0.145
3.912,-0.133
3.916,-0.102
3.92,-0.085
3.924,-0.098
3.928,-0.095
3.932,-0.08
3.936,-0.07
3.94,-0.09
3.944,-0.092
3.948,-0.075
3.952,-0.072
3.956,-0.095
3.96,-0.092
3.964,-0.102
3.968,-0.115
3.972,-0.105
3.976,-0.1
3.98,-0.087
3.984,-0.087
3.988,-0.09
3.992,-0.095
3.996,-0.095
4,-0.098
4.004,-0.083
4.008,-0.08
4.012,-0.085
4.016,-0.083
4.02,-0.095
4.024,-0.09
4.028,-0.085
4.032,-0.075
4.036,-0.09
4.04,-0.107
4.044,-0.095
4.048,-0.105
4.052,-0.072
4.056,-0.065
4.06,-0.04
4.064,-0.055
4.068,-0.055
4.072,-0.055
4.076,-0.065
4.08,-0.085
4.084,-0.062
4.088,-0.055
4.092,-0.07
4.096,-0.075
4.1,-0.07
4.104,-0.052
4.108,-0.06
4.112,-0.075
4.116,-0.06
4.12,-0.09
4.124,-0.098
4.128,-0.085
4.132,-0.075
4.136,-0.045
4.14,-0.043
4.144,-0.052
4.148,-0.052
4.152,-0.05
4.156,-0.035
4.16,-0.018
4.164,-0.025
4.168,-0.033
4.172,-0.05
4.176,-0.065
4.18,-0.035
4.184,-0.065
4.188,-0.062
4.192,-0.075
4.196,-0.052
4.2,-0.04
4.204,-0.06
4.208,-0.055
4.212,-0.043
4.216,-0.033
4.22,-0.055
4.224,-0.035
4.228,-0.025
4.232,-0.04
4.236,-0.033
4.24,-0.003
4.244,-0.015
4.248,0.005
4.252,-0.005
4.256,-0.015
4.26,0.007
4.264,0.033
4.268,0.105
4.272,0.107
4.276,0.117
4.28,0.115
4.284,0.115
4.288,0.072
4.292,0.087
4.296,0.107
4.3,0.105
4.304,0.068
4.308,0.055
4.312,-0.003
4.316,-0.028
4.32,-0.045
4.324,-0.095
4.328,-0.092
4.332,-0.085
4.336,-0.08
4.34,-0.092
4.344,-0.1
4.348,-0.113
4.352,-0.087
4.356,-0.085
4.36,-0.113
4.364,-0.1
4.368,-0.135
4.372,-0.115
4.376,-0.15
4.38,-0.263
4.384,-0.407
4.388,-0.445
4.392,-0.355
4.396,-0.085
4.4,0.307
4.404,0.828
4.408,1.427
4.412,1.792
4.416,1.7
4.42,1.317
4.424,0.927
4.428,0.557
4.432,0.275
4.436,0.113
4.44,0.005
4.444,-0.035
4.448,-0.075
4.452,-0.105
4.456,-0.122
4.46,-0.125
4.464,-0.165
4.468,-0.172
4.472,-0.175
4.476,-0.193
4.48,-0.195
4.484,-0.193
4.488,-0.215
4.492,-0.205
4.496,-0.195
4.5,-0.212
4.504,-0.205
4.508,-0.203
4.512,-0.198
4.516,-0.22
4.52,-0.233
4.524,-0.24
4.528,-0.235
4.532,-0.21
4.536,-0.205
4.54,-0.182
4.544,-0.193
4.548,-0.195
4.552,-0.203
4.556,-0.235
4.56,-0.225
4.564,-0.212
4.568,-0.205
4.572,-0.207
4.576,-0.203
4.58,-0.168
4.584,-0.172
4.588,-0.155
4.592,-0.16
4.596,-0.133
4.6,-0.138
4.604,-0.13
4.608,-0.135
4.612,-0.125
4.616,-0.095
4.62,-0.077
4.624,-0.085
4.628,-0.105
4.632,-0.075
4.636,-0.072
4.64,-0.07
4.644,-0.068
4.648,-0.045
4.652,-0.035
4.656,0.005
4.66,-0.003
4.664,0.018
4.668,0.007
4.672,0.018
4.676,0.048
4.68,0.055
4.684,0.045
4.688,0.028
4.692,0.048
4.696,0.02
4.7,-0.003
4.704,-0.003
4.708,-0.02
4.712,-0.045
4.716,-0.033
4.72,-0.035
4.724,-0.03
4.728,-0.037
4.732,-0.04
4.736,-0.043
4.74,-0.045
4.744,-0.06
4.748,-0.06
4.752,-0.075
4.756,-0.075
4.76,-0.068
4.764,-0.077
4.768,-0.055
4.772,-0.072
4.776,-0.075
4.78,-0.1
4.784,-0.09
4.788,-0.075
4.792,-0.077
4.796,-0.043
4.8,-0.045
4.804,-0.055
4.808,-0.035
4.812,-0.05
4.816,-0.068
4.82,-0.072
4.824,-0.062
4.828,-0.072
4.832,-0.062
4.836,-0.072
4.84,-0.065
4.844,-0.052
4.848,-0.068
4.852,-0.068
4.856,-0.08
4.86,-0.072
4.864,-0.08
4.868,-0.08
4.872,-0.075
4.876,-0.095
4.88,-0.09
4.884,-0.11
4.888,-0.087
4.892,-0.085
4.896,-0.09
4.9,-0.087
4.904,-0.085
4.908,-0.09
4.912,-0.095
4.916,-0.08
4.92,-0.08
4.924,-0.095
4.928,-0.11
4.932,-0.085
4.936,-0.077
4.94,-0.072
4.944,-0.085
4.948,-0.09
4.952,-0.075
4.956,-0.08
4.96,-0.1
4.964,-0.105
4.968,-0.102
4.972,-0.09
4.976,-0.09
4.98,-0.1
4.984,-0.077
4.988,-0.098
4.992,-0.125
